"","date","lender","borrower","amount_honoured"
"546",2017-10-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3223679.68
"547",2017-10-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",30739310.19
"548",2017-10-01,"Caixa Econômica Federal","Rio de Janeiro",61529062.61
"549",2017-10-15,"Caixa Econômica Federal","Roraima",2820689.09
"550",2017-09-19,"Caixa Econômica Federal","Rio de Janeiro",1019045.5
"551",2017-09-19,"Caixa Econômica Federal","Rio de Janeiro",2678798.45
"552",2017-10-16,"Banco do Brasil S/A","Rio de Janeiro",9627344.9
"553",2017-10-15,"Caixa Econômica Federal","Rio de Janeiro",8317674.26
"554",2017-09-25,"Caixa Econômica Federal","Rio de Janeiro",8374507.47
"555",2017-09-01,"Caixa Econômica Federal","Rio de Janeiro",61931962.95
"556",2017-09-20,"Japan International Cooperation Agency","Rio de Janeiro",43254.49
"557",2017-09-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5408968.91
"558",2017-09-25,"Caixa Econômica Federal","Roraima",2810632.45
"559",2017-09-19,"Caixa Econômica Federal","Rio de Janeiro",2617822.97
"560",2017-09-12,"Caixa Econômica Federal","Natal",2189626.48
"561",2017-09-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",27019522.27
"562",2017-09-15,"Caixa Econômica Federal","Roraima",2823363.64
"563",2017-09-19,"Caixa Econômica Federal","Rio de Janeiro",925543.21
"564",2017-09-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3236695.33
"565",2017-09-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",30722793.25
"566",2017-09-09,"BID","Rio de Janeiro",39110077.19
"567",2017-09-13,"Corporacão Andina de Fomento","Rio de Janeiro",36892928.3
"568",2017-09-20,"Japan International Cooperation Agency","Rio de Janeiro",26321430.58
"569",2017-09-13,"Corporacão Andina de Fomento","Rio de Janeiro",18394746.96
"570",2017-09-09,"BID","Rio de Janeiro",5559116.3
"571",2017-09-15,"Caixa Econômica Federal","Rio de Janeiro",8442054.22
"572",2017-09-15,"Banco Suiço de Investimento - Credit Suisse-Brasil","Rio de Janeiro",77976750.23
"573",2017-09-15,"Banco do Brasil S/A","Rio de Janeiro",9625100.56
"574",2017-08-15,"Banco Mundial","Rio de Janeiro",9319671.9
"575",2017-08-15,"Banco Mundial","Rio de Janeiro",450444.79
"576",2017-08-15,"Banco Mundial","Rio de Janeiro",15532786.5
"577",2017-08-01,"Caixa Econômica Federal","Rio de Janeiro",59249970.08
"578",2017-08-14,"Caixa Econômica Federal","Natal",2193466.89
"579",2017-08-25,"Caixa Econômica Federal","Roraima",2844270.01
"580",2017-08-25,"Caixa Econômica Federal","Rio de Janeiro",8193231.69
"581",2017-08-15,"Banco do Brasil S/A","Rio de Janeiro",9378703.82
"582",2017-08-15,"Caixa Econômica Federal","Rio de Janeiro",8549676.93
"583",2017-08-21,"Caixa Econômica Federal","Rio de Janeiro",2546208.44
"584",2017-08-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",25993554.08
"585",2017-08-15,"Caixa Econômica Federal","Roraima",2726144.86
"586",2017-08-21,"Caixa Econômica Federal","Rio de Janeiro",842184.87
"587",2017-08-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3125076.74
"588",2017-08-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",29420716.17
"589",2017-08-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5268803.45
"590",2017-07-28,"BID","Rio de Janeiro",19327458.3
"591",2017-07-25,"Caixa Econômica Federal","Rio de Janeiro",8366109.96
"592",2017-06-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5452389.95
"593",2017-07-25,"Caixa Econômica Federal","Roraima",2800849.28
"594",2017-06-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",27010595.22
"595",2017-06-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3223817.74
"596",2017-06-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",30859174.05
"597",2017-07-03,"Caixa Econômica Federal","Rio de Janeiro",62893137.93
"598",2017-07-19,"Caixa Econômica Federal","Rio de Janeiro",843882.35
"599",2017-07-19,"Caixa Econômica Federal","Rio de Janeiro",2550422.92
"600",2017-07-17,"Banco do Brasil S/A","Rio de Janeiro",9622913.49
"601",2017-07-17,"Caixa Econômica Federal","Rio de Janeiro",8433104.41
"602",2017-07-12,"Caixa Econômica Federal","Natal",2182025.26
"603",2017-07-17,"Caixa Econômica Federal","Roraima",2748528.38
"604",2017-06-15,"BID","Rio de Janeiro",4973446.95
"605",2017-06-15,"BID","Rio de Janeiro",14123738.73
"606",2017-06-01,"Caixa Econômica Federal","Rio de Janeiro",61917119.67
"607",2017-06-26,"Caixa Econômica Federal","Rio de Janeiro",8364477.43
"608",2017-06-12,"Caixa Econômica Federal","Natal",2194444.9
"609",2017-06-05,"Corporacão Andina de Fomento","Rio de Janeiro",33444042.74
"610",2017-06-26,"Caixa Econômica Federal","Roraima",2876086.84
"611",2017-06-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",27519265.12
"612",2017-06-16,"Caixa Econômica Federal","Roraima",2888772.6
"613",2017-06-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3278643.71
"614",2017-06-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",31490780.4
"615",2017-06-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5532936.65
"616",2017-06-16,"Banco do Brasil S/A","Rio de Janeiro",9842117.03
"617",2017-06-16,"Caixa Econômica Federal","Rio de Janeiro",8608516.44
"618",2017-06-19,"Caixa Econômica Federal","Rio de Janeiro",2542430.2
"619",2017-06-19,"Caixa Econômica Federal","Rio de Janeiro",841538.51
"620",2017-06-16,"Banco do Brasil S/A","Rio de Janeiro",350248616.44
"621",2017-05-15,"Banco Mundial","Rio de Janeiro",1571797.48
"622",2017-05-22,"Corporacão Andina de Fomento","Rio de Janeiro",20644749.33
"623",2017-05-17,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",25522665.89
"624",2017-05-15,"Banco Mundial","Rio de Janeiro",47560714.72
"625",2017-05-15,"BID","Rio de Janeiro",2565418.71
"626",2017-05-15,"Banco Mundial","Rio de Janeiro",11172982.3
"627",2017-05-15,"Banco Mundial","Rio de Janeiro",162447.71
"628",2017-05-02,"Caixa Econômica Federal","Rio de Janeiro",62265295.05
"629",2017-05-17,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3053995.63
"630",2017-05-25,"Caixa Econômica Federal","Rio de Janeiro",8334811.61
"631",2017-05-25,"Caixa Econômica Federal","Roraima",2864662.67
"632",2017-05-12,"Caixa Econômica Federal","Natal",2195120.65
"633",2017-05-19,"Caixa Econômica Federal","Rio de Janeiro",844793.7
"634",2017-05-19,"Caixa Econômica Federal","Rio de Janeiro",2551357.86
"635",2017-05-15,"Caixa Econômica Federal","Roraima",2694436.41
"636",2017-05-17,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5246565.61
"637",2017-05-17,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",28919960.79
"638",2017-05-15,"Banco do Brasil S/A","Rio de Janeiro",9286550.03
"639",2017-05-15,"Caixa Econômica Federal","Rio de Janeiro",8606629.77
"640",2017-04-30,"Agência Francesa de Desevolvimento","Rio de Janeiro",27214379.23
"641",2017-04-17,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3333428.88
"642",2017-05-08,"Banco do Brasil S/A","Rio de Janeiro",121335672.57
"643",2017-04-17,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",28060475.69
"644",2017-04-03,"Caixa Econômica Federal","Rio de Janeiro",61700637.73
"645",2017-04-15,"BID","Rio de Janeiro",2711915
"646",2017-04-15,"Banco Mundial","Rio de Janeiro",2462490.13
"647",2017-04-17,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",32310072.14
"648",2017-04-17,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5658666.41
"649",2017-04-15,"Banco Mundial","Rio de Janeiro",45048928.3
"650",2017-04-15,"Banco Mundial","Rio de Janeiro",8791639.22
"651",2017-04-15,"Banco Mundial","Rio de Janeiro",4766555.58
"652",2017-04-25,"Caixa Econômica Federal","Rio de Janeiro",8319971.22
"653",2017-03-20,"Japan International Cooperation Agency","Rio de Janeiro",162391.68
"654",2017-04-12,"Caixa Econômica Federal","Natal",2192565.3
"655",2017-04-15,"Banco do Brasil S/A","Rio de Janeiro",10136048.5
"656",2017-04-15,"Caixa Econômica Federal","Rio de Janeiro",8830875.09
"657",2017-04-19,"Caixa Econômica Federal","Rio de Janeiro",2546629.6
"658",2017-04-19,"Caixa Econômica Federal","Rio de Janeiro",843526.12
"659",2017-03-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3050892.87
"660",2017-03-20,"Japan International Cooperation Agency","Rio de Janeiro",27167125.85
"661",2017-03-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",25487143.41
"662",2017-03-01,"Caixa Econômica Federal","Rio de Janeiro",62491017.93
"663",2017-03-13,"Corporacão Andina de Fomento","Rio de Janeiro",18218529.73
"664",2017-03-13,"Corporacão Andina de Fomento","Rio de Janeiro",38036922.88
"665",2017-03-25,"Caixa Econômica Federal","Rio de Janeiro",8312499.71
"666",2017-03-15,"Caixa Econômica Federal","Roraima",2707174.69
"667",2017-03-09,"BID","Rio de Janeiro",5464414.52
"668",2017-03-19,"Caixa Econômica Federal","Rio de Janeiro",2552348.61
"669",2017-03-19,"Caixa Econômica Federal","Rio de Janeiro",845717.4
"670",2017-03-09,"BID","Rio de Janeiro",39238959.26
"671",2017-03-12,"Caixa Econômica Federal","Natal",2194353.85
"672",2017-03-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5280548.76
"673",2017-03-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",29015637.89
"674",2017-03-15,"Banco do Brasil S/A","Rio de Janeiro",9345672.53
"675",2017-03-15,"Caixa Econômica Federal","Rio de Janeiro",8678999.23
"676",2017-02-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",3187474.75
"677",2017-02-01,"Caixa Econômica Federal","Rio de Janeiro",57126522.54
"678",2017-02-25,"Caixa Econômica Federal","Rio de Janeiro",8313320.21
"679",2017-02-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",26627715.33
"680",2017-02-15,"Banco Mundial","Rio de Janeiro",8781987.29
"681",2017-02-15,"Banco Mundial","Rio de Janeiro",424456.92
"682",2017-02-15,"Banco Mundial","Rio de Janeiro",14636645.46
"683",2017-02-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",30463088.01
"684",2017-02-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5468830.4
"685",2017-02-12,"Caixa Econômica Federal","Natal",2199780.45
"686",2017-02-19,"Caixa Econômica Federal","Rio de Janeiro",845391.73
"687",2017-02-19,"Caixa Econômica Federal","Rio de Janeiro",2550475.18
"688",2017-02-15,"Banco do Brasil S/A","Rio de Janeiro",9693413.36
"689",2017-02-15,"Caixa Econômica Federal","Rio de Janeiro",8824938.62
"690",2017-01-28,"BID","Rio de Janeiro",19400605.1
"691",2017-01-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",4853248.42
"692",2017-01-01,"Caixa Econômica Federal","Rio de Janeiro",127255340.28
"693",2017-01-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",46055634.73
"694",2017-01-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5638401.7
"695",2017-01-25,"Caixa Econômica Federal","Rio de Janeiro",8259647.64
"696",2017-01-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",31806786.22
"697",2017-01-12,"Caixa Econômica Federal","Natal",2196332.99
"698",2017-01-19,"Caixa Econômica Federal","Rio de Janeiro",844794.74
"699",2017-01-19,"Caixa Econômica Federal","Rio de Janeiro",2547789.75
"700",2017-01-15,"Banco do Brasil S/A","Rio de Janeiro",10034387.05
"701",2017-01-15,"Caixa Econômica Federal","Rio de Janeiro",8972901.55
"702",2016-12-15,"BID","Rio de Janeiro",4483884.27
"703",2016-12-15,"BID","Rio de Janeiro",5442495.92
"704",2016-12-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5412154.09
"705",2016-12-25,"Caixa Econômica Federal","Rio de Janeiro",8214400.51
"706",2016-12-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",29828651.04
"707",2016-12-12,"Caixa Econômica Federal","Natal",2194644.39
"708",2016-12-05,"Corporacão Andina de Fomento","Rio de Janeiro",32426059.72
"709",2016-12-19,"Caixa Econômica Federal","Rio de Janeiro",2542000.4
"710",2016-12-19,"Caixa Econômica Federal","Rio de Janeiro",843165.93
"711",2016-12-15,"Banco do Brasil S/A","Rio de Janeiro",9513263.89
"712",2016-12-15,"Caixa Econômica Federal","Rio de Janeiro",8827402.61
"713",2016-12-15,"Banco do Brasil S/A","Rio de Janeiro",160777260.35
"714",2016-12-08,"Corporacão Andina de Fomento","Rio de Janeiro",12398937.96
"715",2016-12-06,"Corporacão Andina de Fomento","Rio de Janeiro",186325672.12
"716",2016-11-22,"Corporacão Andina de Fomento","Rio de Janeiro",20652988.83
"717",2016-10-20,"Fundo Financeiro para Desenvolvimento da Bacia do Prata","Cachoeirinha",1446770.51
"718",2016-11-01,"Caixa Econômica Federal","Rio de Janeiro",126556279.01
"719",2016-11-12,"Caixa Econômica Federal","Natal",2198696.59
"720",2016-11-15,"Banco Mundial","Rio de Janeiro",1534481.06
"721",2016-11-25,"Caixa Econômica Federal","Rio de Janeiro",8209239.28
"722",2016-11-15,"Banco Mundial","Rio de Janeiro",45556962.88
"723",2016-11-15,"BID","Rio de Janeiro",765409.57
"724",2016-11-15,"Banco Mundial","Rio de Janeiro",9094500.36
"725",2016-11-15,"Banco Mundial","Rio de Janeiro",125520.65
"726",2016-11-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5487920.61
"727",2016-11-15,"Caixa Econômica Federal","Rio de Janeiro",8938952.54
"728",2016-11-19,"Caixa Econômica Federal","Rio de Janeiro",2540457.93
"729",2016-11-19,"Caixa Econômica Federal","Rio de Janeiro",842915.96
"730",2016-11-16,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",61156392.98
"731",2016-11-16,"Banco do Brasil S/A","Rio de Janeiro",9830382.67
"732",2016-10-31,"Agência Francesa de Desevolvimento","Rio de Janeiro",28791937.48
"733",2016-11-07,"Banco do Brasil S/A","Rio de Janeiro",115098766.46
"734",2016-10-03,"Caixa Econômica Federal","Rio de Janeiro",98161644.7
"735",2016-10-17,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",47270535.07
"736",2016-10-25,"Caixa Econômica Federal","Rio de Janeiro",8186125.77
"737",2016-10-15,"BID","Rio de Janeiro",2909703.6
"738",2016-10-15,"Banco Mundial","Rio de Janeiro",1989472.96
"739",2016-10-15,"Banco Mundial","Rio de Janeiro",46145386.3
"740",2016-10-15,"Banco Mundial","Rio de Janeiro",9744097.96
"741",2016-10-15,"Banco Mundial","Rio de Janeiro",3801641.14
"742",2016-10-15,"BID","Belford Roxo",1170272.43
"743",2016-10-17,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5665772.55
"744",2016-10-19,"Caixa Econômica Federal","Rio de Janeiro",2541090.99
"745",2016-10-12,"Caixa Econômica Federal","Natal",2188905.65
"746",2016-10-15,"Caixa Econômica Federal","Roraima",2927771.46
"747",2016-10-19,"Caixa Econômica Federal","Rio de Janeiro",843368.1
"748",2016-10-17,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",4926896.75
"749",2016-10-17,"Banco do Brasil S/A","Rio de Janeiro",10126407.77
"750",2016-10-17,"Banco Suiço de Investimento - Credit Suisse-Brasil","Rio de Janeiro",104432869.06
"751",2016-10-15,"Caixa Econômica Federal","Rio de Janeiro",9080723.1
"752",2016-09-20,"Japan International Cooperation Agency","Rio de Janeiro",142956.4
"753",2016-09-20,"Japan International Cooperation Agency","Rio de Janeiro",30027871.1
"754",2016-09-25,"Caixa Econômica Federal","Roraima",3002202
"755",2016-09-25,"Caixa Econômica Federal","Rio de Janeiro",8190562.18
"756",2016-09-15,"Caixa Econômica Federal","Roraima",2879819.72
"757",2016-09-12,"Caixa Econômica Federal","Natal",2184012.12
"758",2016-09-12,"Bank of America","Mato Grosso",107134090.46
"759",2016-09-15,"Banco do Brasil S/A","Rio de Janeiro",10023830.04
"760",2016-09-15,"Caixa Econômica Federal","Rio de Janeiro",9067584.06
"761",2016-09-19,"Caixa Econômica Federal","Rio de Janeiro",2531570.85
"762",2016-09-19,"Caixa Econômica Federal","Rio de Janeiro",840493.27
"763",2016-09-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5591688.12
"764",2016-09-13,"Corporacão Andina de Fomento","Rio de Janeiro",19285596.56
"765",2016-09-13,"Corporacão Andina de Fomento","Rio de Janeiro",47547386.15
"766",2016-09-15,"Banco Suiço de Investimento - Credit Suisse-Brasil","Rio de Janeiro",78583970.29
"767",2016-09-09,"BID","Rio de Janeiro",5692752.67
"768",2016-09-09,"BID","Rio de Janeiro",41552366.03
"769",2016-08-15,"Caixa Econômica Federal","Roraima",2895556.06
"770",2016-08-01,"Caixa Econômica Federal","Rio de Janeiro",32203715.11
"771",2016-08-25,"Caixa Econômica Federal","Roraima",2955547.86
"772",2016-08-15,"Banco Mundial","Rio de Janeiro",7144137.02
"773",2016-08-15,"Banco Mundial","Rio de Janeiro",303890.11
"774",2016-08-25,"Caixa Econômica Federal","Rio de Janeiro",8167329.38
"775",2016-08-15,"Banco Mundial","Rio de Janeiro",11906894.99
"776",2016-06-10,"Fundo Financeiro para Desenvolvimento da Bacia do Prata","Chapecó",2266689.08
"777",2016-08-12,"Caixa Econômica Federal","Natal",2183696.05
"778",2016-08-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5613704.39
"779",2016-08-19,"Caixa Econômica Federal","Rio de Janeiro",2530247.24
"780",2016-08-19,"Caixa Econômica Federal","Rio de Janeiro",840336.8
"781",2016-08-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",59668844.72
"782",2016-08-15,"Banco do Brasil S/A","Rio de Janeiro",9930240.35
"783",2016-08-15,"Caixa Econômica Federal","Rio de Janeiro",9090805.4
"784",2016-07-28,"BID","Rio de Janeiro",20704560.6
"785",2016-07-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",4792155.29
"786",2016-07-25,"Caixa Econômica Federal","Roraima",9913945.42
"787",2016-07-12,"Caixa Econômica Federal","Natal",2170103.48
"788",2016-07-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",45501377
"789",2016-07-15,"Caixa Econômica Federal","Roraima",2840250.09
"790",2016-07-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5554417.92
"791",2016-07-25,"Caixa Econômica Federal","Rio de Janeiro",8101541.31
"792",2016-07-19,"Caixa Econômica Federal","Rio de Janeiro",838011.99
"793",2016-07-19,"Caixa Econômica Federal","Rio de Janeiro",2522402.28
"794",2016-07-15,"Banco do Brasil S/A","Rio de Janeiro",9807292.93
"795",2016-07-15,"Caixa Econômica Federal","Rio de Janeiro",9064770.35
"796",2016-06-15,"BID","Rio de Janeiro",4923847.53
"797",2016-06-27,"Caixa Econômica Federal","Rio de Janeiro",8117691.5
"798",2016-06-15,"BID","Rio de Janeiro",6781447.46
"799",2016-06-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5570501.1
"800",2016-06-06,"Corporacão Andina de Fomento","Rio de Janeiro",3834.05
"801",2016-06-16,"Caixa Econômica Federal","Rio de Janeiro",9104372.19
"802",2016-06-20,"Caixa Econômica Federal","Rio de Janeiro",2518434.53
"803",2016-06-20,"Caixa Econômica Federal","Rio de Janeiro",836972.39
"804",2016-06-16,"Banco do Brasil S/A","Rio de Janeiro",162808801.16
"805",2016-06-15,"Banco do Brasil S/A","Rio de Janeiro",9873216
"806",2016-06-06,"Corporacão Andina de Fomento","Rio de Janeiro",31204986.61
"807",2016-05-23,"Corporacão Andina de Fomento","Rio de Janeiro",20760093.7
"808",2016-05-25,"Caixa Econômica Federal","Rio de Janeiro",8045643.88
"809",2016-05-15,"Banco Mundial","Rio de Janeiro",1370761.61
"810",2016-05-15,"Banco Mundial","Rio de Janeiro",9659006.04
"811",2016-05-15,"Banco Mundial","Rio de Janeiro",48791.31
"812",2016-05-15,"Banco Mundial","Rio de Janeiro",6558108.24
"813",2016-05-16,"BID","Rio de Janeiro",901948.02
"814",2016-05-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",5652434.1
"815",2016-05-19,"Caixa Econômica Federal","Rio de Janeiro",2518470.73
"816",2016-05-19,"Caixa Econômica Federal","Rio de Janeiro",837261.47
"817",2016-05-15,"Banco Nacional de Desenvolvimento Econômico e Social","Rio de Janeiro",59429299.11
"818",2016-05-16,"Banco do Brasil S/A","Rio de Janeiro",9969305.78
"819",2016-05-16,"Caixa Econômica Federal","Rio de Janeiro",9195719.93
"820",2016-04-30,"Agência Francesa de Desevolvimento","Rio de Janeiro",30162688.1
"821",2016-05-09,"Banco do Brasil S/A","Rio de Janeiro",116947772.21
"822",2016-04-19,"Caixa Econômica Federal","Rio de Janeiro",814584
"823",2016-04-25,"Caixa Econômica Federal","Rio de Janeiro",7967046.55
"824",2016-04-19,"Caixa Econômica Federal","Rio de Janeiro",2517082.46
"825",2016-04-19,"Caixa Econômica Federal","Rio de Janeiro",826.42
