Relatório de Composição de Garantias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Taubaté;295.146.000,00;0,11%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;295.146.000,00;0,11%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;295.146.000,00;0,18%;295.146.000,00;0,18%;0;0,00%;0;0,00%;0;0,00%
São José dos Campos;273.866.079,60;0,10%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;273.866.079,60;0,10%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;273.866.079,60;0,17%;273.866.079,60;0,17%;0;0,00%;0;0,00%;0;0,00%
Florianópolis;271.567.281,71;0,10%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;271.567.281,71;0,10%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;271.567.281,71;0,16%;271.567.281,71;0,16%;0;0,00%;0;0,00%;0;0,00%
Osasco;255.023.430,77;0,09%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;255.023.430,77;0,09%;255.023.430,77;0,24%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;255.023.430,77;0,24%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Campo Grande;238.967.122,03;0,09%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;238.967.122,03;0,09%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;238.967.122,03;0,14%;238.967.122,03;0,14%;0;0,00%;0;0,00%;0;0,00%
Belém;235.891.784,08;0,09%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;235.891.784,08;0,09%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;235.891.784,08;0,14%;235.891.784,08;0,14%;0;0,00%;0;0,00%;0;0,00%
Joinville;231.499.036,92;0,08%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;198.318.681,36;0,07%;33.180.355,56;0,01%;33.180.355,56;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;33.180.355,56;0,03%;198.318.681,36;0,12%;198.318.681,36;0,12%;0;0,00%;0;0,00%;0;0,00%
Blumenau;229.927.242,37;0,08%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;229.927.242,37;0,08%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;229.927.242,37;0,14%;229.927.242,37;0,14%;0;0,00%;0;0,00%;0;0,00%
Hortolândia;207.313.540,67;0,08%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;207.313.540,67;0,08%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;207.313.540,67;0,13%;207.313.540,67;0,13%;0;0,00%;0;0,00%;0;0,00%
Camaçari;196.345.563,35;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;196.345.563,35;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;196.345.563,35;0,12%;196.345.563,35;0,12%;0;0,00%;0;0,00%;0;0,00%
Natal;195.090.015,04;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;195.090.015,04;0,07%;0;0,00%;0;0,00%;195.090.015,04;0,18%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;195.090.015,04;0,18%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Ribeirão Preto;191.362.279,38;0,07%;0;0,00%;0;0,00%;0;0,00%;14.184.840,20;0,01%;177.177.439,18;0,06%;0;0,00%;0;0,00%;191.362.279,38;0,18%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;14.184.840,20;0,01%;177.177.439,18;0,16%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Corumbá;166.228.557,82;0,06%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;166.228.557,82;0,06%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;166.228.557,82;0,10%;166.228.557,82;0,10%;0;0,00%;0;0,00%;0;0,00%
Caxias do Sul;164.573.687,46;0,06%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;126.965.707,35;0,05%;37.607.980,11;0,01%;37.607.980,11;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;37.607.980,11;0,03%;126.965.707,35;0,08%;126.965.707,35;0,08%;0;0,00%;0;0,00%;0;0,00%
Palmas;161.132.642,21;0,06%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;114.684.374,55;0,04%;46.448.267,66;0,02%;46.448.267,66;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;46.448.267,66;0,04%;114.684.374,55;0,07%;114.684.374,55;0,07%;0;0,00%;0;0,00%;0;0,00%
Itajaí;155.373.771,40;0,06%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;155.373.771,40;0,06%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;155.373.771,40;0,09%;155.373.771,40;0,09%;0;0,00%;0;0,00%;0;0,00%
Maceió;154.284.418,36;0,06%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;154.284.418,36;0,06%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;154.284.418,36;0,09%;154.284.418,36;0,09%;0;0,00%;0;0,00%;0;0,00%
Cascavel;142.835.707,99;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;117.169.041,33;0,04%;25.666.666,66;0,01%;25.666.666,66;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;25.666.666,66;0,02%;117.169.041,33;0,07%;117.169.041,33;0,07%;0;0,00%;0;0,00%;0;0,00%
Aparecida de Goiânia;138.513.657,63;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;138.513.657,63;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;138.513.657,63;0,08%;138.513.657,63;0,08%;0;0,00%;0;0,00%;0;0,00%
São Luís;137.937.229,72;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;137.937.229,72;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;137.937.229,72;0,08%;137.937.229,72;0,08%;0;0,00%;0;0,00%;0;0,00%
Canoas;122.977.499,90;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;122.977.499,90;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;122.977.499,90;0,07%;122.977.499,90;0,07%;0;0,00%;0;0,00%;0;0,00%
Santo André;116.856.866,13;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;98.496.613,85;0,04%;18.360.252,28;0,01%;18.360.252,28;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;18.360.252,28;0,02%;98.496.613,85;0,06%;98.496.613,85;0,06%;0;0,00%;0;0,00%;0;0,00%
Sobral;108.666.942,82;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;108.666.942,82;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;108.666.942,82;0,07%;108.666.942,82;0,07%;0;0,00%;0;0,00%;0;0,00%
Vitória;104.561.358,27;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;104.561.358,27;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;104.561.358,27;0,06%;104.561.358,27;0,06%;0;0,00%;0;0,00%;0;0,00%
Serra;100.690.679,92;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;100.690.679,92;0,04%;100.690.679,92;0,09%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;100.690.679,92;0,09%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Parauapebas;99.970.810,22;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;99.970.810,22;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;99.970.810,22;0,06%;99.970.810,22;0,06%;0;0,00%;0;0,00%;0;0,00%
Aracaju;99.933.965,38;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;99.933.965,38;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;99.933.965,38;0,06%;99.933.965,38;0,06%;0;0,00%;0;0,00%;0;0,00%
Araguaína;86.222.022,09;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;86.222.022,09;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;86.222.022,09;0,05%;86.222.022,09;0,05%;0;0,00%;0;0,00%;0;0,00%
Novo Hamburgo;81.964.390,12;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;81.964.390,12;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;81.964.390,12;0,05%;81.964.390,12;0,05%;0;0,00%;0;0,00%;0;0,00%
Criciúma;78.642.415,24;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;52.042.684,57;0,02%;26.599.730,67;0,01%;26.599.730,67;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;26.599.730,67;0,02%;52.042.684,57;0,03%;52.042.684,57;0,03%;0;0,00%;0;0,00%;0;0,00%
São Gonçalo do Amarante;78.617.099,39;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;78.617.099,39;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;78.617.099,39;0,05%;78.617.099,39;0,05%;0;0,00%;0;0,00%;0;0,00%
Santos;78.164.543,27;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;78.164.543,27;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;78.164.543,27;0,05%;78.164.543,27;0,05%;0;0,00%;0;0,00%;0;0,00%
Paranaguá;77.714.699,68;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;50.094.761,99;0,02%;27.619.937,69;0,01%;27.619.937,69;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;27.619.937,69;0,03%;50.094.761,99;0,03%;50.094.761,99;0,03%;0;0,00%;0;0,00%;0;0,00%
Linhares;76.880.819,13;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;76.880.819,13;0,03%;76.880.819,13;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;76.880.819,13;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Chapecó;76.300.484,03;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;31.446.175,77;0,01%;44.854.308,26;0,02%;44.854.308,26;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;44.854.308,26;0,04%;31.446.175,77;0,02%;31.446.175,77;0,02%;0;0,00%;0;0,00%;0;0,00%
Balneário Camboriú;71.651.210,87;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;71.651.210,87;0,03%;71.651.210,87;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;71.651.210,87;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Maracanaú;69.851.220,00;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;69.851.220,00;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;69.851.220,00;0,04%;69.851.220,00;0,04%;0;0,00%;0;0,00%;0;0,00%
Sorocaba;67.902.553,10;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;24.804.631,93;0,01%;43.097.921,17;0,02%;0;0,00%;24.804.631,93;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;24.804.631,93;0,02%;0;0,00%;43.097.921,17;0,03%;43.097.921,17;0,03%;0;0,00%;0;0,00%;0;0,00%
Toledo;60.637.915,71;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;54.188.799,44;0,02%;6.449.116,27;0,00%;6.449.116,27;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;6.449.116,27;0,01%;54.188.799,44;0,03%;19.841.362,02;0,01%;34.347.437,42;0,02%;0;0,00%;0;0,00%
Contagem;59.324.774,31;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;59.324.774,31;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;59.324.774,31;0,04%;59.324.774,31;0,04%;0;0,00%;0;0,00%;0;0,00%
Ponta Porã;57.469.224,92;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;18.861.005,29;0,01%;34.658.219,63;0,01%;3.950.000,00;0,00%;22.811.005,29;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;18.861.005,29;0,02%;3.950.000,00;0,00%;34.658.219,63;0,02%;34.658.219,63;0,02%;0;0,00%;0;0,00%;0;0,00%
Jacareí;56.569.650,00;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;56.569.650,00;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;56.569.650,00;0,03%;56.569.650,00;0,03%;0;0,00%;0;0,00%;0;0,00%
Jaraguá do Sul;54.158.249,19;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;54.158.249,19;0,02%;54.158.249,19;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;54.158.249,19;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Rio Branco;51.600.114,00;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;51.600.114,00;0,02%;51.600.114,00;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;51.600.114,00;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Alagoinhas;49.498.443,70;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;49.498.443,70;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;49.498.443,70;0,03%;49.498.443,70;0,03%;0;0,00%;0;0,00%;0;0,00%
Aracati;49.390.143,41;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;49.390.143,41;0,02%;49.390.143,41;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;49.390.143,41;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
São Caetano do Sul;49.377.153,07;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;49.377.153,07;0,02%;49.377.153,07;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;49.377.153,07;0,05%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Ouro Preto;42.083.333,31;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;42.083.333,31;0,02%;42.083.333,31;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;42.083.333,31;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Muriaé;41.047.682,41;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;41.047.682,41;0,02%;41.047.682,41;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;41.047.682,41;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Sete Lagoas;40.985.919,14;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;40.985.919,14;0,01%;0;0,00%;0;0,00%;40.985.919,14;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;40.985.919,14;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Maringá;40.954.696,47;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;32.539.617,96;0,01%;8.415.078,51;0,00%;8.415.078,51;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;8.415.078,51;0,01%;32.539.617,96;0,02%;32.539.617,96;0,02%;0;0,00%;0;0,00%;0;0,00%
Cachoeiro de Itapemirim;40.000.000,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;40.000.000,00;0,01%;40.000.000,00;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;40.000.000,00;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Colatina;37.797.247,72;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;37.797.247,72;0,01%;0;0%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;37.797.247,72;0,02%;37.797.247,72;0,02%;0;0,00%;0;0,00%;0;0,00%
João Pessoa;36.893.250,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;36.893.250,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;36.893.250,00;0,02%;36.893.250,00;0,02%;0;0,00%;0;0,00%;0;0,00%
Cariacica;33.906.879,52;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;33.906.879,52;0,01%;33.906.879,52;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;33.906.879,52;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Passo Fundo;31.230.860,61;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;31.230.860,61;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;31.230.860,61;0,02%;31.230.860,61;0,02%;0;0,00%;0;0,00%;0;0,00%
Belford Roxo;29.890.611,08;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;29.890.611,08;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;29.890.611,08;0,02%;29.890.611,08;0,02%;0;0,00%;0;0,00%;0;0,00%
Vila Velha;28.263.180,96;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;28.263.180,96;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;28.263.180,96;0,02%;28.263.180,96;0,02%;0;0,00%;0;0,00%;0;0,00%
Catanduva;28.020.792,31;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;28.020.792,31;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;28.020.792,31;0,02%;28.020.792,31;0,02%;0;0,00%;0;0,00%;0;0,00%
Mogi das Cruzes;27.704.123,52;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;7.132.695,00;0,00%;20.571.428,52;0,01%;20.571.428,52;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;20.571.428,52;0,02%;7.132.695,00;0,00%;7.132.695,00;0,00%;0;0,00%;0;0,00%;0;0,00%
Suzano;27.529.654,36;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;27.529.654,36;0,01%;27.529.654,36;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;27.529.654,36;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Itapipoca;26.557.203,41;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;26.557.203,41;0,01%;26.557.203,41;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;26.557.203,41;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Boa Vista;24.306.250,82;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;24.306.250,82;0,01%;24.306.250,82;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;24.306.250,82;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Ponta Grossa;23.911.426,39;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;23.911.426,39;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;23.911.426,39;0,01%;23.911.426,39;0,01%;0;0,00%;0;0,00%;0;0,00%
Piraquara;22.030.935,94;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;22.030.935,94;0,01%;22.030.935,94;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;22.030.935,94;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
