Relatório de Composição de Garantias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eusébio;22.000.000,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;22.000.000,00;0,01%;22.000.000,00;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;22.000.000,00;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Jandira;21.058.976,84;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;21.058.976,84;0,01%;21.058.976,84;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;21.058.976,84;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Timbó;21.011.231,27;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;12.264.260,98;0,00%;0;0,00%;8.746.970,29;0,00%;21.011.231,27;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;12.264.260,98;0,01%;8.746.970,29;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Santa Maria;20.755.114,51;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;20.755.114,51;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;20.755.114,51;0,01%;20.755.114,51;0,01%;0;0,00%;0;0,00%;0;0,00%
Foz do Iguaçu;20.000.000,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;20.000.000,00;0,01%;20.000.000,00;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;20.000.000,00;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Gaspar;20.000.000,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;20.000.000,00;0,01%;20.000.000,00;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;20.000.000,00;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Cachoeirinha;19.647.563,84;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;19.647.563,84;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;19.647.563,84;0,01%;19.647.563,84;0,01%;0;0,00%;0;0,00%;0;0,00%
Ituiutaba;19.059.090,88;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;19.059.090,88;0,01%;19.059.090,88;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;19.059.090,88;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Itatiaia;18.500.000,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;18.500.000,00;0,01%;18.500.000,00;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;18.500.000,00;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Barra do Piraí;17.770.205,56;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;17.770.205,56;0,01%;17.770.205,56;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;17.770.205,56;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Camocim;16.757.358,92;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;16.757.358,92;0,01%;16.757.358,92;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;16.757.358,92;0,02%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Guarulhos;16.474.487,66;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;16.474.487,66;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;16.474.487,66;0,01%;16.474.487,66;0,01%;0;0,00%;0;0,00%;0;0,00%
Votuporanga;15.714.285,68;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;15.714.285,68;0,01%;15.714.285,68;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;15.714.285,68;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Pelotas;15.511.323,60;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;15.511.323,60;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;15.511.323,60;0,01%;15.511.323,60;0,01%;0;0,00%;0;0,00%;0;0,00%
Osório;15.450.861,98;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;15.450.861,98;0,01%;15.450.861,98;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;15.450.861,98;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Tapejara;14.952.082,45;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;9.680.806,99;0,00%;0;0,00%;5.271.275,46;0,00%;14.952.082,45;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;9.680.806,99;0,01%;5.271.275,46;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Feira de Santana;14.375.000,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;14.375.000,00;0,01%;14.375.000,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;14.375.000,00;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Camboriú;14.268.527,84;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;14.268.527,84;0,01%;14.268.527,84;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;14.268.527,84;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Aquidauana;14.231.357,79;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;14.231.357,79;0,01%;0;0,00%;0;0,00%;14.231.357,79;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;14.231.357,79;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Tanguá;14.223.977,51;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;14.223.977,51;0,01%;14.223.977,51;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;14.223.977,51;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Gurupi;14.216.754,39;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;14.216.754,39;0,01%;0;0,00%;0;0,00%;14.216.754,39;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;14.216.754,39;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Nova Alvorada do Sul;13.974.620,61;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;9.468.670,86;0,00%;0;0,00%;4.505.949,75;0,00%;13.974.620,61;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;9.468.670,86;0,01%;4.505.949,75;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Pomerode;13.186.026,08;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;13.186.026,08;0,00%;13.186.026,08;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;13.186.026,08;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Uberaba;13.063.096,19;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;13.063.096,19;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;13.063.096,19;0,01%;13.063.096,19;0,01%;0;0,00%;0;0,00%;0;0,00%
Bagé;12.836.376,40;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;12.836.376,40;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;12.836.376,40;0,01%;12.836.376,40;0,01%;0;0,00%;0;0,00%;0;0,00%
Mineiros;11.531.092,35;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;11.531.092,35;0,00%;0;0,00%;0;0,00%;11.531.092,35;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;11.531.092,35;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Panambi;10.628.571,02;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;10.628.571,02;0,00%;0;0,00%;0;0,00%;10.628.571,02;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;10.628.571,02;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Araquari;10.541.889,42;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;10.541.889,42;0,00%;0;0,00%;0;0,00%;10.541.889,42;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;10.541.889,42;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Ponte Nova;10.232.046,92;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;10.232.046,92;0,00%;10.232.046,92;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;10.232.046,92;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Costa Rica;10.187.548,47;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;10.187.548,47;0,00%;0;0,00%;0;0,00%;10.187.548,47;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;10.187.548,47;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Rio Grande;10.143.929,10;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;10.143.929,10;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;10.143.929,10;0,01%;10.143.929,10;0,01%;0;0,00%;0;0,00%;0;0,00%
Prudentópolis;9.961.824,09;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;9.961.824,09;0,00%;0;0,00%;0;0,00%;9.961.824,09;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;9.961.824,09;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Carandaí;7.701.302,19;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;7.701.302,19;0,00%;7.701.302,19;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;7.701.302,19;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Porto Nacional;7.289.719,62;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;7.289.719,62;0,00%;7.289.719,62;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;7.289.719,62;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Castro;6.387.839,29;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;6.387.839,29;0,00%;0;0,00%;0;0,00%;6.387.839,29;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;6.387.839,29;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Pojuca;6.188.442,67;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;6.188.442,67;0,00%;6.188.442,67;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;6.188.442,67;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Jaguaré;6.091.836,27;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;6.091.836,27;0,00%;6.091.836,27;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;6.091.836,27;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Santa Rosa;6.083.333,37;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;6.083.333,37;0,00%;6.083.333,37;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;6.083.333,37;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Caarapó;5.857.544,53;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5.857.544,53;0,00%;0;0,00%;0;0,00%;5.857.544,53;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5.857.544,53;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
São Sebastião do Caí;5.725.443,06;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.725.443,06;0,00%;0;0,00%;4.000.000,00;0,00%;5.725.443,06;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.725.443,06;0,00%;4.000.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Capinzal;5.510.061,33;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5.510.061,33;0,00%;0;0,00%;0;0,00%;5.510.061,33;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5.510.061,33;0,01%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Uruguaiana;5.328.145,35;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5.328.145,35;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5.328.145,35;0,00%;5.328.145,35;0,00%;0;0,00%;0;0,00%;0;0,00%
Ivinhema;5.197.330,22;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5.197.330,22;0,00%;0;0,00%;0;0,00%;5.197.330,22;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5.197.330,22;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Ubaíra;5.011.655,92;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5.011.655,92;0,00%;5.011.655,92;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5.011.655,92;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Não-Me-Toque;5.000.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5.000.000,00;0,00%;5.000.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5.000.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Fortim;5.000.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5.000.000,00;0,00%;5.000.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;5.000.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Goioerê;4.683.160,29;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.683.160,29;0,00%;4.683.160,29;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.683.160,29;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Paraíso das Águas;4.679.557,29;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.679.557,29;0,00%;0;0,00%;0;0,00%;4.679.557,29;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.679.557,29;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Candeias;4.618.330,12;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.618.330,12;0,00%;4.618.330,12;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.618.330,12;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Morro da Fumaça;4.583.374,66;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.583.374,66;0,00%;0;0,00%;0;0,00%;4.583.374,66;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.583.374,66;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Piripiri;4.574.963,83;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.574.963,83;0,00%;4.574.963,83;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.574.963,83;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Jiquiriçá;4.571.875,04;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.571.875,04;0,00%;4.571.875,04;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.571.875,04;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Lapão;4.491.666,64;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.491.666,64;0,00%;4.491.666,64;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.491.666,64;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Água Doce;4.398.148,10;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.398.148,10;0,00%;4.398.148,10;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.398.148,10;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Concórdia;4.378.975,92;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.378.975,92;0,00%;0;0,00%;0;0,00%;4.378.975,92;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.378.975,92;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Schroeder;4.267.508,78;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.267.508,78;0,00%;0;0,00%;0;0,00%;4.267.508,78;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.267.508,78;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Santa Vitória;4.201.367,46;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.201.367,46;0,00%;0;0,00%;0;0,00%;4.201.367,46;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.201.367,46;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Massaranduba;4.150.634,75;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.150.634,75;0,00%;0;0,00%;0;0,00%;4.150.634,75;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.150.634,75;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Nova Santa Rita;4.095.906,63;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.095.906,63;0,00%;4.095.906,63;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.095.906,63;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Pinhalzinho;4.083.333,30;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.083.333,30;0,00%;4.083.333,30;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.083.333,30;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
São Gabriel do Oeste;4.054.973,03;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.054.973,03;0,00%;0;0,00%;0;0,00%;4.054.973,03;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.054.973,03;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Barrocas;3.925.204,87;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.925.204,87;0,00%;3.925.204,87;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.925.204,87;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Viçosa;3.763.012,83;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.763.012,83;0,00%;3.763.012,83;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.763.012,83;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Paranã;3.518.518,50;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.518.518,50;0,00%;3.518.518,50;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.518.518,50;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Guarda-Mor;3.476.213,40;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.476.213,40;0,00%;3.476.213,40;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.476.213,40;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Itá;3.319.551,93;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.582.472,10;0,00%;0;0,00%;1.737.079,83;0,00%;3.319.551,93;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.582.472,10;0,00%;1.737.079,83;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
São Bento do Sul;3.250.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.250.000,00;0,00%;3.250.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.250.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Barão;3.205.047,62;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.205.047,62;0,00%;0;0,00%;0;0,00%;3.205.047,62;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.205.047,62;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Abdon Batista;2.939.321,95;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.939.321,95;0,00%;2.939.321,95;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.939.321,95;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
