Relatório de Composição de Garantias;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barracão;2.830.003,89;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.830.003,89;0,00%;2.830.003,89;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.830.003,89;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Sonora;2.804.854,05;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.804.854,05;0,00%;0;0,00%;0;0,00%;2.804.854,05;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.804.854,05;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Abelardo Luz;2.802.519,44;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.802.519,44;0,00%;2.802.519,44;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.802.519,44;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Correia Pinto;2.781.679,67;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.781.679,67;0,00%;0;0,00%;0;0,00%;2.781.679,67;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.781.679,67;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Ponte Serrada;2.723.494,27;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.723.494,27;0,00%;2.723.494,27;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.723.494,27;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Cotiporã;2.572.083,27;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.572.083,27;0,00%;0;0,00%;0;0,00%;2.572.083,27;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.572.083,27;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Alto Feliz;2.394.886,21;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.394.886,21;0,00%;0;0,00%;0;0,00%;2.394.886,21;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.394.886,21;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Jaquirana;2.334.380,26;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.334.380,26;0,00%;0;0,00%;0;0,00%;2.334.380,26;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.334.380,26;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Garça;2.257.242,97;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.257.242,97;0,00%;0;0,00%;0;0,00%;2.257.242,97;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.257.242,97;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Capitólio;2.217.811,22;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.217.811,22;0,00%;2.217.811,22;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.217.811,22;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Vargeão;2.216.840,89;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.216.840,89;0,00%;2.216.840,89;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.216.840,89;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Roca Sales;2.208.216,97;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.208.216,97;0,00%;2.208.216,97;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.208.216,97;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Doutor Pedrinho;2.207.365,23;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.207.365,23;0,00%;2.207.365,23;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.207.365,23;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Maratá;2.077.940,91;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.077.940,91;0,00%;2.077.940,91;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.077.940,91;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Morro Grande;2.002.003,09;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.002.003,09;0,00%;0;0,00%;0;0,00%;2.002.003,09;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.002.003,09;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Marau;2.000.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.000.000,00;0,00%;2.000.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.000.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Serafina Corrêa;1.983.093,50;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.983.093,50;0,00%;0;0,00%;0;0,00%;1.983.093,50;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.983.093,50;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Passos Maia;1.973.095,78;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.973.095,78;0,00%;0;0,00%;0;0,00%;1.973.095,78;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.973.095,78;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Antônio Prado;1.900.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.900.000,00;0,00%;1.900.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.900.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Vale Real;1.835.554,46;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.835.554,46;0,00%;0;0,00%;0;0,00%;1.835.554,46;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.835.554,46;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Bom Jesus;1.829.349,01;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.829.349,01;0,00%;0;0,00%;0;0,00%;1.829.349,01;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.829.349,01;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Pinheiro Preto;1.714.145,14;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.714.145,14;0,00%;1.714.145,14;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.714.145,14;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Crucilândia;1.676.781,70;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.676.781,70;0,00%;1.676.781,70;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.676.781,70;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Rio Paranaíba;1.648.332,62;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.648.332,62;0,00%;1.648.332,62;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.648.332,62;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Salvador do Sul;1.590.103,75;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.590.103,75;0,00%;0;0,00%;0;0,00%;1.590.103,75;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.590.103,75;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Paty do Alferes;1.361.111,10;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.361.111,10;0,00%;1.361.111,10;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.361.111,10;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Monte Castelo;1.225.879,28;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.225.879,28;0,00%;1.225.879,28;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.225.879,28;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Entre Rios;1.010.158,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.010.158,00;0,00%;0;0,00%;0;0,00%;1.010.158,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.010.158,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Relvado;1.000.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.000.000,00;0,00%;1.000.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.000.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Virmond;1.000.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.000.000,00;0,00%;1.000.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.000.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Campinas das Missões;980.899,52;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;980.899,52;0,00%;0;0,00%;0;0,00%;980.899,52;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;980.899,52;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Paranavaí;912.110,51;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;912.110,51;0,00%;912.110,51;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;912.110,51;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Santa Helena;891.783,76;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;891.783,76;0,00%;891.783,76;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;891.783,76;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Tio Hugo;802.986,44;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;802.986,44;0,00%;0;0,00%;0;0,00%;802.986,44;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;802.986,44;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Guarujá do Sul;662.863,28;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;662.863,28;0,00%;662.863,28;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;662.863,28;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Veranópolis;637.832,89;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;637.832,89;0,00%;0;0,00%;0;0,00%;637.832,89;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;637.832,89;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Rio do Campo;470.629,65;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;470.629,65;0,00%;470.629,65;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;470.629,65;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Sidrolândia;417.285,23;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;417.285,23;0,00%;0;0,00%;0;0,00%;417.285,23;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;417.285,23;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Jundiaí;384.979,63;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;384.979,63;0,00%;384.979,63;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;384.979,63;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Barra do Guarita;200.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;200.000,00;0,00%;200.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;200.000,00;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Euclides da Cunha;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Estância;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Goiatuba;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Indaiatuba;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0%;0;0,00%;0;0,00%;0;0,00%
Mata;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
São José do Rio Preto;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Telêmaco Borba;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Cianorte;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Itacurubi;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Paraíso;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
Bancos Federais;19.536.212.836,65;7,15%;0;0,00%;0;0,00%;0;0,00%;3.647.900.106,20;1,33%;0;0,00%;15.888.312.730,45;5,81%;0;0,00%;3.647.900.106,20;3,38%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.647.900.106,20;3,38%;0;0,00%;0;0,00%;15.888.312.730,45;9,60%;15.888.312.730,45;9,60%;0;0,00%;0;0,00%;0;0,00%
BNDES;14.976.902.678,56;5,48%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;14.976.902.678,56;5,48%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;14.976.902.678,56;9,05%;14.976.902.678,56;9,05%;0;0,00%;0;0,00%;0;0,00%
CAIXA;3.643.638.869,66;1,33%;0;0,00%;0;0,00%;0;0,00%;3.581.858.168,81;1,31%;0;0,00%;61.780.700,85;0,02%;0;0,00%;3.581.858.168,81;3,32%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.581.858.168,81;3,32%;0;0,00%;0;0,00%;61.780.700,85;0,04%;61.780.700,85;0,04%;0;0,00%;0;0,00%;0;0,00%
Banco do Brasil;557.951.937,39;0,20%;0;0,00%;0;0,00%;0;0,00%;66.041.937,39;0,02%;0;0,00%;491.910.000,00;0,18%;0;0,00%;66.041.937,39;0,06%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;66.041.937,39;0,06%;0;0,00%;0;0,00%;491.910.000,00;0,30%;491.910.000,00;0,30%;0;0,00%;0;0,00%;0;0,00%
Banco do Nordeste;357.719.351,05;0,13%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;357.719.351,05;0,13%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;357.719.351,05;0,22%;357.719.351,05;0,22%;0;0,00%;0;0,00%;0;0,00%
Entidades Estaduais Controladas;8.001.525.439,43;2,93%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;8.001.525.439,43;2,93%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;8.001.525.439,43;4,84%;5.872.759.220,09;3,55%;115.236.402,84;0,07%;2.013.529.816,50;1,22%;0;0,00%
SABESP-SP;4.637.321.369,44;1,70%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.637.321.369,44;1,70%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;4.637.321.369,44;2,80%;2.837.190.249,70;1,71%;0;0,00%;1.800.131.119,75;1,09%;0;0,00%
CELESC-SC;1.147.775.804,49;0,42%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.147.775.804,49;0,42%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.147.775.804,49;0,69%;1.147.775.804,49;0,69%;0;0,00%;0;0,00%;0;0,00%
CAESB-DF;751.523.843,33;0,27%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;751.523.843,33;0,27%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;751.523.843,33;0,45%;751.523.843,33;0,45%;0;0,00%;0;0,00%;0;0,00%
CEEE-GT-RS;560.391.944,19;0,20%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;560.391.944,19;0,20%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;560.391.944,19;0,34%;560.391.944,19;0,34%;0;0,00%;0;0,00%;0;0,00%
CEEE-D-RS;316.882.075,67;0,12%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;316.882.075,67;0,12%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;316.882.075,67;0,19%;316.882.075,67;0,19%;0;0,00%;0;0,00%;0;0,00%
CASAN-SC;213.398.696,75;0,08%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;213.398.696,75;0,08%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;213.398.696,75;0,13%;0;0,00%;0;0,00%;213.398.696,75;0,13%;0;0,00%
CAGECE-CE;189.256.851,79;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;189.256.851,79;0,07%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;189.256.851,79;0,11%;189.256.851,79;0,11%;0;0,00%;0;0,00%;0;0,00%
COPASA-MG;115.236.402,84;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;115.236.402,84;0,04%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;115.236.402,84;0,07%;0;0,00%;115.236.402,84;0,07%;0;0,00%;0;0,00%
SANEAGO-GO;69.738.450,91;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;69.738.450,91;0,03%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;69.738.450,91;0,04%;69.738.450,91;0,04%;0;0,00%;0;0,00%;0;0,00%
BANDES-ES;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0%;0;0%;0;0,00%;0;0,00%;0;0,00%
Estatais Federais;5.931.395.483,21;2,17%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.440.695.642,30;0,89%;3.490.699.840,91;1,28%;3.490.699.840,91;3,24%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;3.490.699.840,91;3,24%;2.440.695.642,30;1,47%;2.204.308.132,09;1,33%;236.387.510,22;0,14%;0;0,00%;0;0,00%
ELETRONUCLEAR;2.966.039.840,26;1,08%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.966.039.840,26;1,08%;2.966.039.840,26;2,75%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;2.966.039.840,26;2,75%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%
FINEP;1.637.175.518,90;0,60%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.637.175.518,90;0,60%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;1.637.175.518,90;0,99%;1.637.175.518,90;0,99%;0;0,00%;0;0,00%;0;0,00%
ELETROBRÁS;956.836.247,20;0,35%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;432.176.246,55;0,16%;524.660.000,65;0,19%;524.660.000,65;0,49%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;524.660.000,65;0,49%;432.176.246,55;0,26%;195.788.736,33;0,12%;236.387.510,22;0,14%;0;0,00%;0;0,00%
Furnas Centrais Elétricas;371.343.876,86;0,14%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;371.343.876,86;0,14%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;0;0,00%;371.343.876,86;0,22%;371.343.876,86;0,22%;0;0,00%;0;0,00%;0;0,00%
